               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.040789,             0.00565,                   0,             0.90713,             0.80797,             0.86496,             0.43415,            0.042207,           0.0059572,                   0,           0.0088912,           0.0088912,           0.0088912
                 114,            0.040818,           0.0055604,                   0,             0.90613,             0.81176,             0.86475,             0.43519,            0.042069,           0.0059276,                   0,           0.0088813,           0.0088813,           0.0088813
                 115,            0.040714,           0.0056226,                   0,             0.89975,             0.81456,             0.86681,             0.43364,            0.042151,           0.0059608,                   0,           0.0088714,           0.0088714,           0.0088714
                 116,              0.0407,           0.0056437,                   0,              0.9079,             0.81017,             0.86728,             0.43388,            0.042053,           0.0059346,                   0,           0.0088615,           0.0088615,           0.0088615
                 117,            0.040996,           0.0056446,                   0,             0.90998,             0.80985,              0.8669,              0.4326,            0.042096,           0.0058972,                   0,           0.0088516,           0.0088516,           0.0088516
                 118,             0.04087,            0.005562,                   0,             0.91441,              0.8177,             0.87058,             0.43576,            0.042105,           0.0058652,                   0,           0.0088417,           0.0088417,           0.0088417
                 119,            0.041105,           0.0056163,                   0,              0.9188,               0.813,             0.86925,             0.43404,            0.042105,           0.0058564,                   0,           0.0088318,           0.0088318,           0.0088318
                 120,            0.040911,           0.0056544,                   0,             0.91786,             0.81697,               0.871,             0.43503,            0.042088,           0.0058536,                   0,           0.0088219,           0.0088219,           0.0088219
                 121,             0.04014,           0.0056329,                   0,             0.91683,             0.81362,             0.87125,             0.43482,            0.042065,           0.0058398,                   0,            0.008812,            0.008812,            0.008812
                 122,             0.04063,           0.0056117,                   0,             0.91737,             0.81268,             0.87025,             0.43451,            0.042051,           0.0058438,                   0,           0.0088021,           0.0088021,           0.0088021
                 123,            0.040403,           0.0056815,                   0,             0.90994,              0.8177,             0.87017,             0.43501,            0.042142,           0.0058636,                   0,           0.0087922,           0.0087922,           0.0087922
                 124,            0.040201,           0.0056774,                   0,             0.91696,             0.81074,             0.86857,             0.43483,            0.042162,           0.0058671,                   0,           0.0087823,           0.0087823,           0.0087823
                 125,            0.040104,           0.0055119,                   0,             0.91152,             0.81463,             0.86873,              0.4365,            0.042069,           0.0058705,                   0,           0.0087724,           0.0087724,           0.0087724
                 126,            0.040238,           0.0055953,                   0,             0.91424,             0.81268,             0.86998,             0.43575,            0.042098,           0.0058652,                   0,           0.0087625,           0.0087625,           0.0087625
